[2025-01-13 13:27:38] Start Charging operation
[2025-01-13 13:27:47] Charging - Power: 0W
[2025-01-13 13:28:43] Charging - Power: 2500W
[2025-01-13 13:29:18] Charging - Power: 2500W
[2025-01-13 13:29:52] Charging - Power: 2500W
[2025-01-13 13:30:27] Charging - Power: 2500W
[2025-01-13 13:31:03] Charging - Power: 2500W
[2025-01-13 13:31:35] Charging - Power: 2500W
[2025-01-13 13:32:06] Charging - Power: 2500W
[2025-01-13 13:32:38] Charging - Power: 2500W
[2025-01-13 13:33:19] Charging - Power: 2500W
[2025-01-13 13:33:52] Charging - Power: 2500W
[2025-01-13 13:34:24] Charging - Power: 2500W
[2025-01-13 13:34:56] Charging - Power: 2500W
[2025-01-13 13:35:32] Charging - Power: 2500W
[2025-01-13 13:36:00] Charging - Power: 2500W
[2025-01-13 13:36:28] Charging - Power: 2500W
[2025-01-13 13:37:03] Charging - Power: 2500W
[2025-01-13 13:37:34] Charging - Power: 2500W
[2025-01-13 13:38:05] Charging - Power: 2500W
[2025-01-13 13:38:43] Charging - Power: 2500W
[2025-01-13 13:39:20] Charging - Power: 2500W
[2025-01-13 13:39:51] Charging - Power: 2500W
[2025-01-13 13:40:22] Charging - Power: 2500W
[2025-01-13 13:40:54] Charging - Power: 2500W
[2025-01-13 13:41:30] Charging - Power: 2500W
[2025-01-13 13:41:59] Charging - Power: 2500W
[2025-01-13 13:42:35] Charging - Power: 2500W
[2025-01-13 13:43:11] Charging - Power: 2500W
[2025-01-13 13:43:51] Charging - Power: 2500W
[2025-01-13 13:44:33] Charging - Power: 2500W
[2025-01-13 13:45:06] Charging - Power: 2500W
[2025-01-13 13:45:37] Charging - Power: 2500W
[2025-01-13 13:46:18] Charging - Power: 2500W
[2025-01-13 13:46:45] Charging - Power: 2500W
[2025-01-13 13:47:16] Charging - Power: 2500W
[2025-01-13 13:47:47] Charging - Power: 2500W
[2025-01-13 13:48:17] Charging - Power: 2500W
[2025-01-13 13:48:50] Charging - Power: 2500W
[2025-01-13 13:49:18] Charging - Power: 2500W
[2025-01-13 13:49:49] Charging - Power: 2500W
[2025-01-13 13:50:22] Charging - Power: 2500W
[2025-01-13 13:50:50] Charging - Power: 2500W
[2025-01-13 13:51:27] Charging - Power: 2500W
[2025-01-13 13:51:55] Charging - Power: 2500W
[2025-01-13 13:52:35] Charging - Power: 2500W
[2025-01-13 13:53:06] Charging - Power: 2500W
[2025-01-13 13:53:33] Charging - Power: 2500W
[2025-01-13 13:54:13] Charging - Power: 2500W
[2025-01-13 13:54:53] Charging - Power: 2500W
[2025-01-13 13:55:36] Charging - Power: 2500W
[2025-01-13 13:56:07] Charging - Power: 2500W
[2025-01-13 13:56:38] Charging - Power: 2500W
[2025-01-13 13:57:06] Charging - Power: 2500W
[2025-01-13 13:57:36] Charging - Power: 2500W
[2025-01-13 13:58:08] Charging - Power: 2500W
[2025-01-13 13:58:45] Charging - Power: 2500W
[2025-01-13 13:59:33] Charging - Power: 2500W
[2025-01-13 14:00:03] Charging - Power: 2500W
[2025-01-13 14:00:42] Charging - Power: 2500W
[2025-01-13 14:01:18] Charging - Power: 2500W
[2025-01-13 14:01:51] Charging - Power: 2500W
[2025-01-13 14:02:19] Charging - Power: 2500W
[2025-01-13 14:02:50] Charging - Power: 2500W
[2025-01-13 14:03:18] Charging - Power: 2500W
[2025-01-13 14:03:55] Charging - Power: 2500W
[2025-01-13 14:04:23] Charging - Power: 2500W
[2025-01-13 14:04:55] Charging - Power: 2500W
[2025-01-13 14:05:25] Charging - Power: 2500W
[2025-01-13 14:05:59] Charging - Power: 2500W
[2025-01-13 14:06:27] Charging - Power: 2500W
[2025-01-13 14:06:54] Charging - Power: 2500W
[2025-01-13 14:07:22] Charging - Power: 2500W
[2025-01-13 14:08:04] Charging - Power: 2500W
[2025-01-13 14:08:37] Charging - Power: 2500W
[2025-01-13 14:09:14] Charging - Power: 2500W
[2025-01-13 14:10:00] Charging - Power: 2500W
[2025-01-13 14:10:39] Charging - Power: 2500W
[2025-01-13 14:11:19] Charging - Power: 2500W
[2025-01-13 14:11:47] Charging - Power: 2500W
[2025-01-13 14:12:20] Charging - Power: 2500W
[2025-01-13 14:12:57] Charging - Power: 2500W
[2025-01-13 14:13:52] Charging - Power: 2500W
[2025-01-13 14:14:20] Charging - Power: 2500W
[2025-01-13 14:14:48] Charging - Power: 2500W
[2025-01-13 14:15:21] Charging - Power: 2500W
[2025-01-13 14:15:49] Charging - Power: 2500W
[2025-01-13 14:16:28] Charging - Power: 2500W
[2025-01-13 14:17:01] Charging - Power: 2500W
[2025-01-13 14:17:41] Charging - Power: 2500W
[2025-01-13 14:18:17] Charging - Power: 2500W
[2025-01-13 14:19:00] Charging - Power: 2500W
[2025-01-13 14:19:28] Charging - Power: 2500W
[2025-01-13 14:19:56] Charging - Power: 2500W
[2025-01-13 14:20:48] Charging - Power: 2500W
[2025-01-13 14:21:21] Charging - Power: 2500W
[2025-01-13 14:21:49] Charging - Power: 2500W
[2025-01-13 14:22:26] Charging - Power: 2500W
[2025-01-13 14:23:00] Charging - Power: 2500W
[2025-01-13 14:23:37] Charging - Power: 2500W
[2025-01-13 14:24:23] Charging - Power: 2500W
[2025-01-13 14:24:56] Charging - Power: 2500W
[2025-01-13 14:25:24] Charging - Power: 2500W
[2025-01-13 14:25:55] Charging - Power: 2500W
[2025-01-13 14:26:28] Charging - Power: 2500W
[2025-01-13 14:26:59] Charging - Power: 2500W
[2025-01-13 14:27:29] Charging - Power: 2500W
[2025-01-13 14:28:03] Charging - Power: 2500W
[2025-01-13 14:28:37] Charging - Power: 2500W
[2025-01-13 14:29:17] Charging - Power: 2500W
[2025-01-13 14:29:51] Charging - Power: 2500W
[2025-01-13 14:30:27] Charging - Power: 2500W
[2025-01-13 14:30:58] Charging - Power: 2500W
[2025-01-13 14:31:28] Charging - Power: 2500W
[2025-01-13 14:32:02] Charging - Power: 2500W
[2025-01-13 14:32:33] Charging - Power: 2500W
[2025-01-13 14:33:04] Charging - Power: 2500W
[2025-01-13 14:33:31] Charging - Power: 2500W
[2025-01-13 14:34:05] Charging - Power: 2500W
[2025-01-13 14:34:44] Charging - Power: 2500W
[2025-01-13 14:35:11] Charging - Power: 2500W
[2025-01-13 14:35:48] Charging - Power: 2500W
[2025-01-13 14:36:28] Charging - Power: 2500W
[2025-01-13 14:37:11] Charging - Power: 2500W
[2025-01-13 14:37:38] Charging - Power: 2500W
[2025-01-13 14:38:08] Charging - Power: 2500W
[2025-01-13 14:38:36] Charging - Power: 2500W
[2025-01-13 14:39:12] Charging - Power: 2500W
[2025-01-13 14:39:40] Charging - Power: 2500W
[2025-01-13 14:40:11] Charging - Power: 2500W
[2025-01-13 14:40:45] Charging - Power: 2500W
[2025-01-13 14:41:13] Charging - Power: 2500W
[2025-01-13 14:41:53] Charging - Power: 2500W
[2025-01-13 14:42:30] Charging - Power: 2500W
[2025-01-13 14:43:22] Charging - Power: 2500W
[2025-01-13 14:44:10] Charging - Power: 2500W
[2025-01-13 14:44:52] Charging - Power: 2500W
[2025-01-13 14:45:41] Charging - Power: 2500W
[2025-01-13 14:46:09] Charging - Power: 2500W
[2025-01-13 14:46:37] Charging - Power: 2500W
[2025-01-13 14:47:05] Charging - Power: 2500W
[2025-01-13 14:47:48] Charging - Power: 2500W
[2025-01-13 14:48:28] Charging - Power: 2500W
[2025-01-13 14:48:58] Charging - Power: 2500W
[2025-01-13 14:49:53] Charging - Power: 2480W
[2025-01-13 14:50:33] Charging - Power: 2464W
[2025-01-13 14:51:01] Charging - Power: 2457W
[2025-01-13 14:51:28] Charging - Power: 2442W
[2025-01-13 14:51:59] Charging - Power: 2400W
[2025-01-13 14:52:36] Charging - Power: 2382W
[2025-01-13 14:53:22] Charging - Power: 2351W
[2025-01-13 14:54:02] Charging - Power: 2319W
