[2025-01-13 15:50:07] Start Discharging operation
[2025-01-13 15:50:14] Discharging - Power: 0W
[2025-01-13 15:51:02] Discharging - Power: -2500W
[2025-01-13 15:51:43] Discharging - Power: -2500W
[2025-01-13 15:52:26] Discharging - Power: -2500W
[2025-01-13 15:53:14] Discharging - Power: -2500W
[2025-01-13 15:53:56] Discharging - Power: -2500W
[2025-01-13 15:54:44] Discharging - Power: -2500W
[2025-01-13 15:55:28] Discharging - Power: -2500W
[2025-01-13 15:56:10] Discharging - Power: -2500W
[2025-01-13 15:56:49] Discharging - Power: -2500W
[2025-01-13 15:57:31] Discharging - Power: -2500W
[2025-01-13 15:58:07] Discharging - Power: -2500W
[2025-01-13 15:58:56] Discharging - Power: -2500W
[2025-01-13 15:59:41] Discharging - Power: -2500W
[2025-01-13 16:00:20] Discharging - Power: -2500W
[2025-01-13 16:01:17] Discharging - Power: -2500W
[2025-01-13 16:02:00] Discharging - Power: -2500W
[2025-01-13 16:02:47] Discharging - Power: -2500W
[2025-01-13 16:03:22] Discharging - Power: -2500W
[2025-01-13 16:04:01] Discharging - Power: -2500W
[2025-01-13 16:04:34] Discharging - Power: -2500W
[2025-01-13 16:05:18] Discharging - Power: -2500W
[2025-01-13 16:06:17] Discharging - Power: -2500W
[2025-01-13 16:07:02] Discharging - Power: -2500W
[2025-01-13 16:07:53] Discharging - Power: -2500W
[2025-01-13 16:08:37] Discharging - Power: -2500W
[2025-01-13 16:09:23] Discharging - Power: -2500W
[2025-01-13 16:10:16] Discharging - Power: -2500W
[2025-01-13 16:11:10] Discharging - Power: -2500W
[2025-01-13 16:11:58] Discharging - Power: -2500W
[2025-01-13 16:12:43] Discharging - Power: -2500W
[2025-01-13 16:13:27] Discharging - Power: -2500W
[2025-01-13 16:14:06] Discharging - Power: -2500W
[2025-01-13 16:14:45] Discharging - Power: -2500W
[2025-01-13 16:15:32] Discharging - Power: -2500W
[2025-01-13 16:16:19] Discharging - Power: -2500W
[2025-01-13 16:17:04] Discharging - Power: -2500W
[2025-01-13 16:17:49] Discharging - Power: -2500W
[2025-01-13 16:18:27] Discharging - Power: -2500W
[2025-01-13 16:19:11] Discharging - Power: -2500W
[2025-01-13 16:19:47] Discharging - Power: -2500W
[2025-01-13 16:20:25] Discharging - Power: -2500W
[2025-01-13 16:21:07] Discharging - Power: -2500W
[2025-01-13 16:21:46] Discharging - Power: -2500W
[2025-01-13 16:22:24] Discharging - Power: -2500W
[2025-01-13 16:23:12] Discharging - Power: -2500W
[2025-01-13 16:23:54] Discharging - Power: -2500W
[2025-01-13 16:24:36] Discharging - Power: -2500W
[2025-01-13 16:25:17] Discharging - Power: -2500W
[2025-01-13 16:26:11] Discharging - Power: -2500W
[2025-01-13 16:26:46] Discharging - Power: -2500W
[2025-01-13 16:27:33] Discharging - Power: -2500W
[2025-01-13 16:28:15] Discharging - Power: -2500W
[2025-01-13 16:28:50] Discharging - Power: -2500W
