hour,minute,SoC
0,0,0.0
0,30,0.0
1,0,0.0
1,30,0.0
2,0,0.0
2,30,0.0
3,0,0.0
3,30,0.0
4,0,0.0
4,30,0.0
5,0,0.0
5,30,0.0
6,0,0.0
6,30,0.0
7,0,0.0
7,30,0.035924975
8,0,1.282571325
8,30,5.885622325
9,0,12.8169071
9,30,21.05517625
10,0,33.3101372
10,30,44.84932011
11,0,55.51133523
11,30,68.65438908
12,0,82.99932731
12,30,94.88300675
13,0,100.0
13,30,100.0
14,0,100.0
14,30,100.0
15,0,86.55175334
15,30,93.93478211
16,0,99.73062961
16,30,100.0
17,0,100.0
17,30,96.70689386
18,0,92.91110774
18,30,76.61532161
19,0,60.31953549
19,30,44.02374936
20,0,33.97796324
20,30,25.22796324
21,0,20.22796324
21,30,18.97796324
22,0,17.72796324
22,30,16.47796324
23,0,15.22796324
23,30,13.97796324
