year,month,day,hour,PV_predict_bid[kW],PV_predict_realtime[kW],PV_actual[kW],energyprice_predict_bid[Yen/kWh],energyprice_predict_realtime[Yen/kWh],energyprice_actual[Yen/kWh],imbalanceprice_predict_bid[Yen/kWh],imbalanceprice_predict_realtime[Yen/kWh],imbalanceprice_actual[Yen/kWh],charge/discharge_bid[kWh],charge/discharge_realtime[kWh],charge/discharge_actual_bid[kWh],charge/discharge_actual_realtime[kWh],SoC_bid[%],SoC_realtime[%],SoC_actual_bid[%],SoC_actual_realtime[%],energytransfer_bid[kWh],energytransfer_realtime[kWh],energytransfer_actual_bid[kWh],energytransfer_actual_realtime[kWh],energyprofit_bid[Yen],energyprofit_realtime[Yen],imbalancepenalty_realtime[Yen],imbalancepenalty_actual_bid[Yen],imbalancepenalty_actual_realtime[Yen],totalprofit_bid[Yen],totalprofit_realtime[Yen],totalprofit_actual_bid[Yen],totalprofit_actual_realtime[Yen],mode_bid,mode_realtime,mode,operation_case
2022,8,8,0,0,,0,0,,10.09,0,,16.265,-0.3743692,,-0.3743692,,0.5,,5.179615,,-0.3743692,,-0.3743692,,-3.777385228,,,0,,-3.777385228,,-3.777385228,,,,-999,1
2022,8,8,0.5,0,,0,0,,8.9,0,,16.535,-1,,-1,,0.125630796,,17.679615,,-1,,-1,,-8.9,,,0,,-8.9,,-8.9,,,,-999,1
2022,8,8,1,0,,0,0,,8.44,0,,16.53,0.8314264,,0.8314264,,-0.874369204,,7.286785,,0.8314264,,0.8314264,,7.017238816,,,0,,7.017238816,,7.017238816,,,,-999,1
2022,8,8,1.5,0,,0,0,,8.34,0,,14.53,1,,0.5829428,,-0.042942822,,0,,1,,0.5829428,,4.861742952,,,-6.059841116,,4.861742952,,-1.198098164,,,,-999,1
2022,8,8,2,0,,0,0,,8.465,0,,12.615,-0.049224682,,-0.049224682,,0.957057178,,0.615308525,,-0.049224682,,-0.049224682,,-0.416686933,,,0,,-0.416686933,,-0.416686933,,,,-999,1
2022,8,8,2.5,0,,0,0,,8.465,0,,14.23,0.49814743,,0.049224682,,0.907832496,,0,,0.49814743,,0.049224682,,0.416686933,,,-6.388170704,,0.416686933,,-5.971483771,,,,-999,1
2022,8,8,3,0,,0,0,,8.7,0,,16.015,0.22804932,,0,,1.405979924,,0,,0.22804932,,0,,0,,,-3.65220986,,0,,-3.65220986,,,,-999,1
2022,8,8,3.5,0,,0,0,,8.7,0,,15.235,0.09464304,,-1.39E-17,,1.634029247,,0,,0.09464304,,-1.39E-17,,-1.21E-16,,,-1.441886714,,-1.21E-16,,-1.441886714,,,,5,1
2022,8,8,4,0,,0,0,,8.53,0,,15.305,-0.7600013,,-0.7600013,,1.728672288,,9.50001625,,-0.7600013,,-0.7600013,,-6.482811089,,,0,,-6.482811089,,-6.482811089,,,,5,1
2022,8,8,4.5,0,,0,0,,8.98,0,,16.19,0.14710635,,0.14710635,,0.968670987,,7.661186875,,0.14710635,,0.14710635,,1.321015023,,,0,,1.321015023,,1.321015023,,,,-999,1
